"date","uid","gender","age","incentive","amount"
2014-08-01,e943b07504fd2f435320c640,F,42,Be Active,50
2014-09-01,e943b07504fd2f435320c640,F,42,Be Active,50
2014-02-01,94d35cfd702f18da558f895a,M,33,Be Active,75
2014-04-01,94d35cfd702f18da558f895a,M,33,Be Active,50
2014-05-01,94d35cfd702f18da558f895a,M,33,Be Active,50
2014-06-01,94d35cfd702f18da558f895a,M,33,Be Active,25
2014-10-01,66571cada164918baca8d371,F,31,Be Active,25
2014-02-01,112867f9db54ae5797382238,NULL,34,Be Active,25
2014-02-01,3a4d260e9d4407067140695e,NULL,29,Be Active,25
2014-02-01,bf5ce7343e5f436c6dd2b666,M,38,Be Active,25
2014-02-01,01d4e7b1025c87ead124852a,NULL,39,Be Active,50
2014-01-01,89ee952bdf6bfa4d39d456dc,F,46,Be Active,25
2014-03-01,89ee952bdf6bfa4d39d456dc,F,46,Be Active,25
2014-04-01,89ee952bdf6bfa4d39d456dc,F,46,Be Active,25
2014-05-01,89ee952bdf6bfa4d39d456dc,F,46,Be Active,25
2014-06-01,89ee952bdf6bfa4d39d456dc,F,46,Be Active,25
2014-07-01,89ee952bdf6bfa4d39d456dc,F,46,Be Active,25
2014-08-01,89ee952bdf6bfa4d39d456dc,F,46,Be Active,50
2014-09-01,89ee952bdf6bfa4d39d456dc,F,46,Be Active,25
2014-10-01,89ee952bdf6bfa4d39d456dc,F,46,Be Active,25
2014-11-01,89ee952bdf6bfa4d39d456dc,F,46,Be Active,25
2014-12-01,89ee952bdf6bfa4d39d456dc,F,46,Be Active,25
2014-02-01,f9335472f813682c8e7d7946,F,27,Be Active,25
2014-03-01,f9335472f813682c8e7d7946,F,27,Be Active,25
2014-04-01,f9335472f813682c8e7d7946,F,27,Be Active,25
2014-02-01,e1fe3872f05c8e592e54ff99,F,43,Be Active,25
2014-07-01,e1fe3872f05c8e592e54ff99,F,43,Be Active,25
2014-02-01,0b3a479f123e95d69136a4ae,NULL,31,Be Active,25
2014-02-01,aa370522602a35628bd59789,NULL,39,Be Active,25
2014-04-01,aa370522602a35628bd59789,NULL,39,Be Active,50
2014-05-01,aa370522602a35628bd59789,NULL,39,Be Active,50
2014-06-01,aa370522602a35628bd59789,NULL,39,Be Active,25
2014-07-01,aa370522602a35628bd59789,NULL,39,Be Active,25
2014-09-01,aa370522602a35628bd59789,NULL,39,Be Active,50
2014-10-01,aa370522602a35628bd59789,NULL,39,Be Active,50
2014-11-01,aa370522602a35628bd59789,NULL,39,Be Active,25
2014-02-01,9e64c97eae8cd8158cc592fa,NULL,34,Be Active,25
2014-04-01,9e64c97eae8cd8158cc592fa,NULL,34,Be Active,25
2014-05-01,9e64c97eae8cd8158cc592fa,NULL,34,Be Active,25
2014-02-01,0969cf8ca361c6ed51b626b3,NULL,40,Be Active,25
2014-03-01,0969cf8ca361c6ed51b626b3,NULL,40,Be Active,25
2014-04-01,0969cf8ca361c6ed51b626b3,NULL,40,Be Active,25
2014-05-01,0969cf8ca361c6ed51b626b3,NULL,40,Be Active,50
2014-06-01,0969cf8ca361c6ed51b626b3,NULL,40,Be Active,50
2014-07-01,0969cf8ca361c6ed51b626b3,NULL,40,Be Active,25
